Processing grid size (6, 6) with 216 examples...
Grid Size (6, 6) | Epoch [250/1000] | D Loss: 1.1273 | G Loss: 0.7166
Grid Size (6, 6) | Epoch [260/1000] | D Loss: 1.0613 | G Loss: 0.7132
Grid Size (6, 6) | Epoch [270/1000] | D Loss: 1.0771 | G Loss: 0.7077
Grid Size (6, 6) | Epoch [280/1000] | D Loss: 1.0917 | G Loss: 0.7151
Grid Size (6, 6) | Epoch [290/1000] | D Loss: 1.0553 | G Loss: 0.7149
Grid Size (6, 6) | Epoch [300/1000] | D Loss: 1.0534 | G Loss: 0.7246
Grid Size (6, 6) | Epoch [310/1000] | D Loss: 1.0484 | G Loss: 0.7150
Grid Size (6, 6) | Epoch [320/1000] | D Loss: 1.0502 | G Loss: 0.7385
Grid Size (6, 6) | Epoch [330/1000] | D Loss: 1.0746 | G Loss: 0.7508
Grid Size (6, 6) | Epoch [340/1000] | D Loss: 1.0581 | G Loss: 0.7302
Grid Size (6, 6) | Epoch [350/1000] | D Loss: 1.0748 | G Loss: 0.7463
Grid Size (6, 6) | Epoch [360/1000] | D Loss: 0.9962 | G Loss: 0.7537
Grid Size (6, 6) | Epoch [370/1000] | D Loss: 1.0718 | G Loss: 0.7494
Grid Size (6, 6) | Epoch [380/1000] | D Loss: 1.0517 | G Loss: 0.7589
Grid Size (6, 6) | Epoch [390/1000] | D Loss: 1.0580 | G Loss: 0.7522
Grid Size (6, 6) | Epoch [400/1000] | D Loss: 0.9971 | G Loss: 0.7619
Grid Size (6, 6) | Epoch [410/1000] | D Loss: 0.9870 | G Loss: 0.7705
Grid Size (6, 6) | Epoch [420/1000] | D Loss: 1.0833 | G Loss: 0.7785
Grid Size (6, 6) | Epoch [430/1000] | D Loss: 1.0434 | G Loss: 0.7832
Grid Size (6, 6) | Epoch [440/1000] | D Loss: 1.0011 | G Loss: 0.7605
Grid Size (6, 6) | Epoch [450/1000] | D Loss: 1.0182 | G Loss: 0.7793
Grid Size (6, 6) | Epoch [460/1000] | D Loss: 1.0320 | G Loss: 0.7609
Grid Size (6, 6) | Epoch [470/1000] | D Loss: 1.0298 | G Loss: 0.7738
Grid Size (6, 6) | Epoch [480/1000] | D Loss: 1.0163 | G Loss: 0.7936
Grid Size (6, 6) | Epoch [490/1000] | D Loss: 1.0414 | G Loss: 0.7811
Grid Size (6, 6) | Epoch [500/1000] | D Loss: 0.9695 | G Loss: 0.8003
Grid Size (6, 6) | Epoch [510/1000] | D Loss: 1.0262 | G Loss: 0.7934
Grid Size (6, 6) | Epoch [520/1000] | D Loss: 1.0255 | G Loss: 0.8004
Grid Size (6, 6) | Epoch [530/1000] | D Loss: 1.0169 | G Loss: 0.7935
Grid Size (6, 6) | Epoch [540/1000] | D Loss: 0.9719 | G Loss: 0.8000
Grid Size (6, 6) | Epoch [550/1000] | D Loss: 1.0117 | G Loss: 0.7977
Grid Size (6, 6) | Epoch [560/1000] | D Loss: 0.9899 | G Loss: 0.7977
Grid Size (6, 6) | Epoch [570/1000] | D Loss: 1.0247 | G Loss: 0.8123
Grid Size (6, 6) | Epoch [580/1000] | D Loss: 0.9966 | G Loss: 0.7928
Grid Size (6, 6) | Epoch [590/1000] | D Loss: 1.0347 | G Loss: 0.7957
Grid Size (6, 6) | Epoch [600/1000] | D Loss: 1.0398 | G Loss: 0.8615
Grid Size (6, 6) | Epoch [610/1000] | D Loss: 0.9898 | G Loss: 0.8225
Grid Size (6, 6) | Epoch [620/1000] | D Loss: 1.1113 | G Loss: 0.8068
Grid Size (6, 6) | Epoch [630/1000] | D Loss: 1.0184 | G Loss: 0.8196
Grid Size (6, 6) | Epoch [640/1000] | D Loss: 1.0195 | G Loss: 0.8339
Grid Size (6, 6) | Epoch [650/1000] | D Loss: 0.9886 | G Loss: 0.8449
Grid Size (6, 6) | Epoch [660/1000] | D Loss: 1.0588 | G Loss: 0.8394
Grid Size (6, 6) | Epoch [670/1000] | D Loss: 1.0441 | G Loss: 0.8239
Grid Size (6, 6) | Epoch [680/1000] | D Loss: 1.0673 | G Loss: 0.8215
Grid Size (6, 6) | Epoch [690/1000] | D Loss: 1.0776 | G Loss: 0.8245
Grid Size (6, 6) | Epoch [700/1000] | D Loss: 1.0655 | G Loss: 0.8295
Grid Size (6, 6) | Epoch [710/1000] | D Loss: 1.0959 | G Loss: 0.8339
Grid Size (6, 6) | Epoch [720/1000] | D Loss: 0.9849 | G Loss: 0.8517
Grid Size (6, 6) | Epoch [730/1000] | D Loss: 1.0753 | G Loss: 0.8664
Grid Size (6, 6) | Epoch [740/1000] | D Loss: 1.0859 | G Loss: 0.8695
Grid Size (6, 6) | Epoch [750/1000] | D Loss: 1.0949 | G Loss: 0.8649
Grid Size (6, 6) | Epoch [760/1000] | D Loss: 1.0947 | G Loss: 0.8353
Grid Size (6, 6) | Epoch [770/1000] | D Loss: 1.0339 | G Loss: 0.8536
Grid Size (6, 6) | Epoch [780/1000] | D Loss: 1.0963 | G Loss: 0.8574
Grid Size (6, 6) | Epoch [790/1000] | D Loss: 1.0805 | G Loss: 0.8863
Grid Size (6, 6) | Epoch [800/1000] | D Loss: 1.1298 | G Loss: 0.8623
Grid Size (6, 6) | Epoch [810/1000] | D Loss: 1.1369 | G Loss: 0.8569
Grid Size (6, 6) | Epoch [820/1000] | D Loss: 1.0769 | G Loss: 0.8627
Grid Size (6, 6) | Epoch [830/1000] | D Loss: 1.1154 | G Loss: 0.8657
Grid Size (6, 6) | Epoch [840/1000] | D Loss: 1.1506 | G Loss: 0.9142
Grid Size (6, 6) | Epoch [850/1000] | D Loss: 1.1907 | G Loss: 0.8935
Grid Size (6, 6) | Epoch [860/1000] | D Loss: 1.0594 | G Loss: 0.8579
Grid Size (6, 6) | Epoch [870/1000] | D Loss: 1.1137 | G Loss: 0.8757
Grid Size (6, 6) | Epoch [880/1000] | D Loss: 1.1129 | G Loss: 0.9125
Grid Size (6, 6) | Epoch [890/1000] | D Loss: 1.1490 | G Loss: 0.8705
Grid Size (6, 6) | Epoch [900/1000] | D Loss: 1.1314 | G Loss: 0.8879
Grid Size (6, 6) | Epoch [910/1000] | D Loss: 1.0578 | G Loss: 0.9135
Grid Size (6, 6) | Epoch [920/1000] | D Loss: 1.0430 | G Loss: 0.8902
Grid Size (6, 6) | Epoch [930/1000] | D Loss: 1.1432 | G Loss: 0.8582
Grid Size (6, 6) | Epoch [940/1000] | D Loss: 1.1728 | G Loss: 0.9021
Grid Size (6, 6) | Epoch [950/1000] | D Loss: 1.1164 | G Loss: 0.9253
Grid Size (6, 6) | Epoch [960/1000] | D Loss: 1.1054 | G Loss: 0.9005
Grid Size (6, 6) | Epoch [970/1000] | D Loss: 1.0553 | G Loss: 0.8350
Grid Size (6, 6) | Epoch [980/1000] | D Loss: 1.1802 | G Loss: 0.9222
Grid Size (6, 6) | Epoch [990/1000] | D Loss: 1.2103 | G Loss: 0.8598

Training complete for grid size (6, 6).

Generating 200 new examples for grid size (6, 6)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_6x6.json'.

Processing grid size (9, 9) with 352 examples...
Using Conv models for grid size (9, 9).
Grid Size (9, 9) | Epoch [0/1000] | D Loss: 1.5112 | G Loss: 0.7067
Grid Size (9, 9) | Epoch [10/1000] | D Loss: 0.9030 | G Loss: 1.1314
Grid Size (9, 9) | Epoch [20/1000] | D Loss: 0.7485 | G Loss: 1.4744
Grid Size (9, 9) | Epoch [30/1000] | D Loss: 1.0505 | G Loss: 1.1473
Grid Size (9, 9) | Epoch [40/1000] | D Loss: 0.6070 | G Loss: 1.6262
Grid Size (9, 9) | Epoch [50/1000] | D Loss: 0.8763 | G Loss: 1.1859
Grid Size (9, 9) | Epoch [60/1000] | D Loss: 0.5706 | G Loss: 1.6495
Grid Size (9, 9) | Epoch [70/1000] | D Loss: 0.6492 | G Loss: 1.4884
Grid Size (9, 9) | Epoch [80/1000] | D Loss: 0.5642 | G Loss: 1.7188
Grid Size (9, 9) | Epoch [90/1000] | D Loss: 0.5195 | G Loss: 1.7334
Grid Size (9, 9) | Epoch [100/1000] | D Loss: 0.5127 | G Loss: 2.0943
Grid Size (9, 9) | Epoch [110/1000] | D Loss: 0.4583 | G Loss: 2.2351
Grid Size (9, 9) | Epoch [120/1000] | D Loss: 0.4217 | G Loss: 1.9482
Grid Size (9, 9) | Epoch [130/1000] | D Loss: 0.5271 | G Loss: 1.9862
Grid Size (9, 9) | Epoch [140/1000] | D Loss: 0.7385 | G Loss: 1.2587
Grid Size (9, 9) | Epoch [150/1000] | D Loss: 0.7311 | G Loss: 1.9413
Grid Size (9, 9) | Epoch [160/1000] | D Loss: 0.6918 | G Loss: 1.6619
Grid Size (9, 9) | Epoch [170/1000] | D Loss: 0.6853 | G Loss: 1.3037
Grid Size (9, 9) | Epoch [180/1000] | D Loss: 0.6761 | G Loss: 1.3449
Grid Size (9, 9) | Epoch [190/1000] | D Loss: 0.8359 | G Loss: 1.3095
Grid Size (9, 9) | Epoch [200/1000] | D Loss: 1.0021 | G Loss: 1.1524
Grid Size (9, 9) | Epoch [210/1000] | D Loss: 0.8715 | G Loss: 1.2850
Grid Size (9, 9) | Epoch [220/1000] | D Loss: 0.9637 | G Loss: 1.0284
Grid Size (9, 9) | Epoch [230/1000] | D Loss: 1.1102 | G Loss: 1.1766
Grid Size (9, 9) | Epoch [240/1000] | D Loss: 1.0521 | G Loss: 1.0427
Grid Size (9, 9) | Epoch [250/1000] | D Loss: 0.9722 | G Loss: 1.1515
Grid Size (9, 9) | Epoch [260/1000] | D Loss: 0.9146 | G Loss: 1.1057
Grid Size (9, 9) | Epoch [270/1000] | D Loss: 0.8073 | G Loss: 1.3813
Grid Size (9, 9) | Epoch [280/1000] | D Loss: 0.9067 | G Loss: 1.1074
Grid Size (9, 9) | Epoch [290/1000] | D Loss: 0.8789 | G Loss: 1.2493
Grid Size (9, 9) | Epoch [300/1000] | D Loss: 0.8812 | G Loss: 1.3421
Grid Size (9, 9) | Epoch [310/1000] | D Loss: 0.7819 | G Loss: 1.3771
Grid Size (9, 9) | Epoch [320/1000] | D Loss: 0.7413 | G Loss: 1.2991
Grid Size (9, 9) | Epoch [330/1000] | D Loss: 0.7118 | G Loss: 1.2864
Grid Size (9, 9) | Epoch [340/1000] | D Loss: 0.5531 | G Loss: 1.4547
Grid Size (9, 9) | Epoch [350/1000] | D Loss: 0.6117 | G Loss: 1.4276
Grid Size (9, 9) | Epoch [360/1000] | D Loss: 0.6803 | G Loss: 1.4031
Grid Size (9, 9) | Epoch [370/1000] | D Loss: 0.6559 | G Loss: 1.5363
Grid Size (9, 9) | Epoch [380/1000] | D Loss: 0.6507 | G Loss: 1.3613
Grid Size (9, 9) | Epoch [390/1000] | D Loss: 0.6129 | G Loss: 1.4225
Grid Size (9, 9) | Epoch [400/1000] | D Loss: 0.5964 | G Loss: 1.6693
Grid Size (9, 9) | Epoch [410/1000] | D Loss: 0.6131 | G Loss: 1.7466
Grid Size (9, 9) | Epoch [420/1000] | D Loss: 0.5176 | G Loss: 1.7501
Grid Size (9, 9) | Epoch [430/1000] | D Loss: 0.6604 | G Loss: 1.9239
Grid Size (9, 9) | Epoch [440/1000] | D Loss: 0.5290 | G Loss: 1.7550
Grid Size (9, 9) | Epoch [450/1000] | D Loss: 0.4446 | G Loss: 1.9840
Grid Size (9, 9) | Epoch [460/1000] | D Loss: 0.4989 | G Loss: 1.9781
Grid Size (9, 9) | Epoch [470/1000] | D Loss: 0.3891 | G Loss: 1.8549
Grid Size (9, 9) | Epoch [480/1000] | D Loss: 0.4300 | G Loss: 1.9264
Grid Size (9, 9) | Epoch [490/1000] | D Loss: 0.5624 | G Loss: 2.0776
Grid Size (9, 9) | Epoch [500/1000] | D Loss: 0.4329 | G Loss: 1.6131
Grid Size (9, 9) | Epoch [510/1000] | D Loss: 0.3559 | G Loss: 2.2235
Grid Size (9, 9) | Epoch [520/1000] | D Loss: 0.4196 | G Loss: 1.8840
Grid Size (9, 9) | Epoch [530/1000] | D Loss: 0.3610 | G Loss: 2.1679
Grid Size (9, 9) | Epoch [540/1000] | D Loss: 0.3533 | G Loss: 2.1842
Grid Size (9, 9) | Epoch [550/1000] | D Loss: 0.2651 | G Loss: 2.6503
Grid Size (9, 9) | Epoch [560/1000] | D Loss: 0.2537 | G Loss: 2.4737
Grid Size (9, 9) | Epoch [570/1000] | D Loss: 0.2772 | G Loss: 2.6301
Grid Size (9, 9) | Epoch [580/1000] | D Loss: 0.2767 | G Loss: 2.5557
Grid Size (9, 9) | Epoch [590/1000] | D Loss: 0.3506 | G Loss: 3.0220
Grid Size (9, 9) | Epoch [600/1000] | D Loss: 0.3174 | G Loss: 2.3112
Grid Size (9, 9) | Epoch [610/1000] | D Loss: 0.2371 | G Loss: 2.8397
Grid Size (9, 9) | Epoch [620/1000] | D Loss: 0.2867 | G Loss: 2.2894
Grid Size (9, 9) | Epoch [630/1000] | D Loss: 0.2741 | G Loss: 2.3263
Grid Size (9, 9) | Epoch [640/1000] | D Loss: 0.2748 | G Loss: 2.5992
Grid Size (9, 9) | Epoch [650/1000] | D Loss: 0.1998 | G Loss: 2.6132
Grid Size (9, 9) | Epoch [660/1000] | D Loss: 0.3012 | G Loss: 2.4671
Grid Size (9, 9) | Epoch [670/1000] | D Loss: 0.2538 | G Loss: 3.0838
Grid Size (9, 9) | Epoch [680/1000] | D Loss: 0.1837 | G Loss: 2.6672
Grid Size (9, 9) | Epoch [690/1000] | D Loss: 0.2065 | G Loss: 2.9675
Grid Size (9, 9) | Epoch [700/1000] | D Loss: 0.2057 | G Loss: 3.2870
Grid Size (9, 9) | Epoch [710/1000] | D Loss: 0.1515 | G Loss: 3.0126
Grid Size (9, 9) | Epoch [720/1000] | D Loss: 0.1916 | G Loss: 3.0386
Grid Size (9, 9) | Epoch [730/1000] | D Loss: 0.1306 | G Loss: 3.0638
Grid Size (9, 9) | Epoch [740/1000] | D Loss: 0.1167 | G Loss: 3.1489
Grid Size (9, 9) | Epoch [750/1000] | D Loss: 0.1742 | G Loss: 3.2577
Grid Size (9, 9) | Epoch [760/1000] | D Loss: 0.1593 | G Loss: 3.2318
Grid Size (9, 9) | Epoch [770/1000] | D Loss: 0.1687 | G Loss: 3.1876
Grid Size (9, 9) | Epoch [780/1000] | D Loss: 0.1631 | G Loss: 3.2993
Grid Size (9, 9) | Epoch [790/1000] | D Loss: 0.1746 | G Loss: 3.3333
Grid Size (9, 9) | Epoch [800/1000] | D Loss: 0.1140 | G Loss: 2.8326
Grid Size (9, 9) | Epoch [810/1000] | D Loss: 0.1524 | G Loss: 3.5132
Grid Size (9, 9) | Epoch [820/1000] | D Loss: 0.1859 | G Loss: 3.3912
Grid Size (9, 9) | Epoch [830/1000] | D Loss: 0.1170 | G Loss: 3.2328
Grid Size (9, 9) | Epoch [840/1000] | D Loss: 0.1138 | G Loss: 3.4138
Grid Size (9, 9) | Epoch [850/1000] | D Loss: 0.1566 | G Loss: 3.7205
Grid Size (9, 9) | Epoch [860/1000] | D Loss: 0.1514 | G Loss: 3.0571
Grid Size (9, 9) | Epoch [870/1000] | D Loss: 0.0948 | G Loss: 2.8681
Grid Size (9, 9) | Epoch [880/1000] | D Loss: 0.1065 | G Loss: 3.5044
Grid Size (9, 9) | Epoch [890/1000] | D Loss: 0.4056 | G Loss: 3.8254
Grid Size (9, 9) | Epoch [900/1000] | D Loss: 0.1066 | G Loss: 3.6250
Grid Size (9, 9) | Epoch [910/1000] | D Loss: 0.1363 | G Loss: 3.5169
Grid Size (9, 9) | Epoch [920/1000] | D Loss: 0.1235 | G Loss: 2.7095
Grid Size (9, 9) | Epoch [930/1000] | D Loss: 0.1206 | G Loss: 2.8826
Grid Size (9, 9) | Epoch [940/1000] | D Loss: 0.1296 | G Loss: 3.5467
Grid Size (9, 9) | Epoch [950/1000] | D Loss: 0.1497 | G Loss: 3.9689
Grid Size (9, 9) | Epoch [960/1000] | D Loss: 0.1428 | G Loss: 4.2315
Grid Size (9, 9) | Epoch [970/1000] | D Loss: 0.1008 | G Loss: 2.8652
Grid Size (9, 9) | Epoch [980/1000] | D Loss: 0.1298 | G Loss: 3.2550
Grid Size (9, 9) | Epoch [990/1000] | D Loss: 0.1208 | G Loss: 3.2676

Training complete for grid size (9, 9).

Generating 200 new examples for grid size (9, 9)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_9x9.json'.

Processing grid size (14, 14) with 88 examples...
Skipping training for grid size (14, 14) due to insufficient data (88 examples).

Processing grid size (20, 20) with 200 examples...
Using Conv models for grid size (20, 20).
Grid Size (20, 20) | Epoch [0/1000] | D Loss: 1.5247 | G Loss: 0.8292
Grid Size (20, 20) | Epoch [10/1000] | D Loss: 0.7274 | G Loss: 1.2910
Grid Size (20, 20) | Epoch [20/1000] | D Loss: 0.6176 | G Loss: 1.4299
Grid Size (20, 20) | Epoch [30/1000] | D Loss: 0.5771 | G Loss: 1.4794
Grid Size (20, 20) | Epoch [40/1000] | D Loss: 0.5541 | G Loss: 1.5512
Grid Size (20, 20) | Epoch [50/1000] | D Loss: 0.4637 | G Loss: 1.7938
Grid Size (20, 20) | Epoch [60/1000] | D Loss: 0.3816 | G Loss: 1.9757
Grid Size (20, 20) | Epoch [70/1000] | D Loss: 0.6177 | G Loss: 1.5278
Grid Size (20, 20) | Epoch [80/1000] | D Loss: 0.6654 | G Loss: 1.6734
Grid Size (20, 20) | Epoch [90/1000] | D Loss: 0.5510 | G Loss: 1.8171
Grid Size (20, 20) | Epoch [100/1000] | D Loss: 0.6480 | G Loss: 1.5862
Grid Size (20, 20) | Epoch [110/1000] | D Loss: 0.6772 | G Loss: 1.3993
Grid Size (20, 20) | Epoch [120/1000] | D Loss: 0.6044 | G Loss: 1.5958
Grid Size (20, 20) | Epoch [130/1000] | D Loss: 0.8107 | G Loss: 1.4052
Grid Size (20, 20) | Epoch [140/1000] | D Loss: 0.7101 | G Loss: 1.0790
Grid Size (20, 20) | Epoch [150/1000] | D Loss: 0.4935 | G Loss: 1.2010
Grid Size (20, 20) | Epoch [160/1000] | D Loss: 0.7110 | G Loss: 1.2555
Grid Size (20, 20) | Epoch [170/1000] | D Loss: 0.7050 | G Loss: 1.8469
Grid Size (20, 20) | Epoch [180/1000] | D Loss: 0.8517 | G Loss: 1.2310
Grid Size (20, 20) | Epoch [190/1000] | D Loss: 0.8851 | G Loss: 2.2027
Grid Size (20, 20) | Epoch [200/1000] | D Loss: 0.6374 | G Loss: 1.4729
Grid Size (20, 20) | Epoch [210/1000] | D Loss: 0.7699 | G Loss: 2.1601
Grid Size (20, 20) | Epoch [220/1000] | D Loss: 0.6156 | G Loss: 1.2768
Grid Size (20, 20) | Epoch [230/1000] | D Loss: 0.6060 | G Loss: 1.7751
Grid Size (20, 20) | Epoch [240/1000] | D Loss: 0.6391 | G Loss: 2.2100
Grid Size (20, 20) | Epoch [250/1000] | D Loss: 0.6976 | G Loss: 1.4441
Grid Size (20, 20) | Epoch [260/1000] | D Loss: 0.5272 | G Loss: 1.9545
Grid Size (20, 20) | Epoch [270/1000] | D Loss: 0.5702 | G Loss: 1.7175
Grid Size (20, 20) | Epoch [280/1000] | D Loss: 0.5651 | G Loss: 1.5777
Grid Size (20, 20) | Epoch [290/1000] | D Loss: 0.4224 | G Loss: 1.8305
Grid Size (20, 20) | Epoch [300/1000] | D Loss: 0.6146 | G Loss: 1.8855
Grid Size (20, 20) | Epoch [310/1000] | D Loss: 0.4274 | G Loss: 1.8418
Grid Size (20, 20) | Epoch [320/1000] | D Loss: 0.5113 | G Loss: 1.5435
Grid Size (20, 20) | Epoch [330/1000] | D Loss: 0.5114 | G Loss: 1.7081
Grid Size (20, 20) | Epoch [340/1000] | D Loss: 0.6116 | G Loss: 1.1593
Grid Size (20, 20) | Epoch [350/1000] | D Loss: 0.4211 | G Loss: 1.7274
Grid Size (20, 20) | Epoch [360/1000] | D Loss: 0.3879 | G Loss: 1.7026
Grid Size (20, 20) | Epoch [370/1000] | D Loss: 0.5104 | G Loss: 2.1869
Grid Size (20, 20) | Epoch [380/1000] | D Loss: 0.5018 | G Loss: 2.3114
Grid Size (20, 20) | Epoch [390/1000] | D Loss: 0.3602 | G Loss: 2.0327
Grid Size (20, 20) | Epoch [400/1000] | D Loss: 0.3008 | G Loss: 1.6616
Grid Size (20, 20) | Epoch [410/1000] | D Loss: 0.3825 | G Loss: 2.0752
Grid Size (20, 20) | Epoch [420/1000] | D Loss: 0.4684 | G Loss: 2.1569
Grid Size (20, 20) | Epoch [430/1000] | D Loss: 0.3696 | G Loss: 1.4080
Grid Size (20, 20) | Epoch [440/1000] | D Loss: 0.5200 | G Loss: 1.7040
Grid Size (20, 20) | Epoch [450/1000] | D Loss: 0.3701 | G Loss: 2.2439
Grid Size (20, 20) | Epoch [460/1000] | D Loss: 0.3307 | G Loss: 1.9843
Grid Size (20, 20) | Epoch [470/1000] | D Loss: 0.3850 | G Loss: 1.8232
Grid Size (20, 20) | Epoch [480/1000] | D Loss: 0.3701 | G Loss: 1.9732
Grid Size (20, 20) | Epoch [490/1000] | D Loss: 0.4111 | G Loss: 1.9338
Grid Size (20, 20) | Epoch [500/1000] | D Loss: 0.3451 | G Loss: 2.1753
Grid Size (20, 20) | Epoch [510/1000] | D Loss: 0.2705 | G Loss: 1.9168
Grid Size (20, 20) | Epoch [520/1000] | D Loss: 0.3852 | G Loss: 2.1591
Grid Size (20, 20) | Epoch [530/1000] | D Loss: 0.3227 | G Loss: 2.2184
Grid Size (20, 20) | Epoch [540/1000] | D Loss: 0.3172 | G Loss: 2.3111
Grid Size (20, 20) | Epoch [550/1000] | D Loss: 0.2208 | G Loss: 1.8521
Grid Size (20, 20) | Epoch [560/1000] | D Loss: 0.2729 | G Loss: 2.0938
Grid Size (20, 20) | Epoch [570/1000] | D Loss: 0.2929 | G Loss: 2.2240
Grid Size (20, 20) | Epoch [580/1000] | D Loss: 0.2763 | G Loss: 2.7647
Grid Size (20, 20) | Epoch [590/1000] | D Loss: 0.3044 | G Loss: 2.3856
Grid Size (20, 20) | Epoch [600/1000] | D Loss: 0.2748 | G Loss: 1.9909
Grid Size (20, 20) | Epoch [610/1000] | D Loss: 0.2354 | G Loss: 2.1619
Grid Size (20, 20) | Epoch [620/1000] | D Loss: 0.2393 | G Loss: 2.0529
Grid Size (20, 20) | Epoch [630/1000] | D Loss: 0.2436 | G Loss: 2.3818
Grid Size (20, 20) | Epoch [640/1000] | D Loss: 0.2287 | G Loss: 2.9681
Grid Size (20, 20) | Epoch [650/1000] | D Loss: 0.2451 | G Loss: 2.5119
Grid Size (20, 20) | Epoch [660/1000] | D Loss: 0.2527 | G Loss: 2.1920
Grid Size (20, 20) | Epoch [670/1000] | D Loss: 0.2526 | G Loss: 2.5217
Grid Size (20, 20) | Epoch [680/1000] | D Loss: 0.2618 | G Loss: 3.1821
Grid Size (20, 20) | Epoch [690/1000] | D Loss: 0.2265 | G Loss: 2.6549
Grid Size (20, 20) | Epoch [700/1000] | D Loss: 0.2130 | G Loss: 2.3868
Grid Size (20, 20) | Epoch [710/1000] | D Loss: 0.2361 | G Loss: 3.0938
Grid Size (20, 20) | Epoch [720/1000] | D Loss: 0.1823 | G Loss: 2.6898
Grid Size (20, 20) | Epoch [730/1000] | D Loss: 0.2784 | G Loss: 2.2305
Grid Size (20, 20) | Epoch [740/1000] | D Loss: 0.1476 | G Loss: 2.5633
Grid Size (20, 20) | Epoch [750/1000] | D Loss: 0.1672 | G Loss: 2.5737
Grid Size (20, 20) | Epoch [760/1000] | D Loss: 0.2945 | G Loss: 3.8287
Grid Size (20, 20) | Epoch [770/1000] | D Loss: 0.1726 | G Loss: 3.1325
Grid Size (20, 20) | Epoch [780/1000] | D Loss: 0.1351 | G Loss: 3.0141
Grid Size (20, 20) | Epoch [790/1000] | D Loss: 0.1844 | G Loss: 2.9020
Grid Size (20, 20) | Epoch [800/1000] | D Loss: 0.1774 | G Loss: 2.6845
Grid Size (20, 20) | Epoch [810/1000] | D Loss: 0.1660 | G Loss: 3.1070
Grid Size (20, 20) | Epoch [820/1000] | D Loss: 0.1686 | G Loss: 2.7192
Grid Size (20, 20) | Epoch [830/1000] | D Loss: 0.1585 | G Loss: 2.7335
Grid Size (20, 20) | Epoch [840/1000] | D Loss: 0.1879 | G Loss: 2.8734
Grid Size (20, 20) | Epoch [850/1000] | D Loss: 0.2029 | G Loss: 2.4785
Grid Size (20, 20) | Epoch [860/1000] | D Loss: 0.1805 | G Loss: 2.8093
Grid Size (20, 20) | Epoch [870/1000] | D Loss: 0.2391 | G Loss: 2.5025
Grid Size (20, 20) | Epoch [880/1000] | D Loss: 0.1508 | G Loss: 2.8362
Grid Size (20, 20) | Epoch [890/1000] | D Loss: 0.1284 | G Loss: 2.5784
Grid Size (20, 20) | Epoch [900/1000] | D Loss: 0.0972 | G Loss: 3.0057
Grid Size (20, 20) | Epoch [910/1000] | D Loss: 0.1637 | G Loss: 2.7789
Grid Size (20, 20) | Epoch [920/1000] | D Loss: 0.1499 | G Loss: 2.9994
Grid Size (20, 20) | Epoch [930/1000] | D Loss: 0.1598 | G Loss: 3.5941
Grid Size (20, 20) | Epoch [940/1000] | D Loss: 0.1918 | G Loss: 2.8982
