
Processing grid size (6, 6) with 216 examples...
Grid Size (9, 9) | Epoch [490/500] | D Loss: 0.1303 | G Loss: 3.2100

Training complete for grid size (9, 9).

Generating 200 new examples for grid size (9, 9)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_9x9.json'.

Processing grid size (14, 14) with 88 examples...
Skipping training for grid size (14, 14) due to insufficient data (88 examples).

Processing grid size (20, 20) with 200 examples...
Using Conv models for grid size (20, 20).
Grid Size (20, 20) | Epoch [0/500] | D Loss: 1.4184 | G Loss: 0.9440
Grid Size (20, 20) | Epoch [10/500] | D Loss: 0.6121 | G Loss: 1.4984
Grid Size (20, 20) | Epoch [20/500] | D Loss: 0.4975 | G Loss: 1.8859
Grid Size (20, 20) | Epoch [30/500] | D Loss: 0.3397 | G Loss: 2.3007
Grid Size (20, 20) | Epoch [40/500] | D Loss: 0.4133 | G Loss: 2.2232
Grid Size (20, 20) | Epoch [50/500] | D Loss: 0.4877 | G Loss: 2.5937
Grid Size (20, 20) | Epoch [60/500] | D Loss: 0.5514 | G Loss: 1.5042
Grid Size (20, 20) | Epoch [70/500] | D Loss: 0.7218 | G Loss: 2.4060
Grid Size (20, 20) | Epoch [80/500] | D Loss: 0.6677 | G Loss: 2.1060
Grid Size (20, 20) | Epoch [90/500] | D Loss: 0.7510 | G Loss: 1.3080
Grid Size (20, 20) | Epoch [100/500] | D Loss: 0.7080 | G Loss: 2.5440
Grid Size (20, 20) | Epoch [110/500] | D Loss: 0.5757 | G Loss: 1.5643
Grid Size (20, 20) | Epoch [120/500] | D Loss: 0.9457 | G Loss: 3.1381
Grid Size (20, 20) | Epoch [130/500] | D Loss: 0.4792 | G Loss: 1.9321
Grid Size (20, 20) | Epoch [140/500] | D Loss: 0.5541 | G Loss: 1.4112
Grid Size (20, 20) | Epoch [150/500] | D Loss: 0.5259 | G Loss: 1.9288
Grid Size (20, 20) | Epoch [160/500] | D Loss: 0.6992 | G Loss: 1.1028
Grid Size (20, 20) | Epoch [170/500] | D Loss: 0.6489 | G Loss: 1.5302
Grid Size (20, 20) | Epoch [180/500] | D Loss: 0.6872 | G Loss: 1.3836
Grid Size (20, 20) | Epoch [190/500] | D Loss: 0.5462 | G Loss: 1.4874
Grid Size (20, 20) | Epoch [200/500] | D Loss: 0.5128 | G Loss: 1.5585
Grid Size (20, 20) | Epoch [210/500] | D Loss: 0.4522 | G Loss: 2.3053
Grid Size (20, 20) | Epoch [220/500] | D Loss: 0.4131 | G Loss: 1.7636
Grid Size (20, 20) | Epoch [230/500] | D Loss: 0.3712 | G Loss: 1.9408
Grid Size (20, 20) | Epoch [240/500] | D Loss: 0.4896 | G Loss: 2.5702
Grid Size (20, 20) | Epoch [250/500] | D Loss: 0.5296 | G Loss: 1.6361
Grid Size (20, 20) | Epoch [260/500] | D Loss: 0.4451 | G Loss: 1.7650
Grid Size (20, 20) | Epoch [270/500] | D Loss: 0.4770 | G Loss: 2.4134
Grid Size (20, 20) | Epoch [280/500] | D Loss: 0.4704 | G Loss: 2.2117
Grid Size (20, 20) | Epoch [290/500] | D Loss: 0.3630 | G Loss: 1.5677
Grid Size (20, 20) | Epoch [300/500] | D Loss: 0.3960 | G Loss: 2.2259
Grid Size (20, 20) | Epoch [310/500] | D Loss: 0.3417 | G Loss: 1.8966
Grid Size (20, 20) | Epoch [320/500] | D Loss: 0.4885 | G Loss: 2.9232
Grid Size (20, 20) | Epoch [330/500] | D Loss: 0.3606 | G Loss: 2.1935
Grid Size (20, 20) | Epoch [340/500] | D Loss: 0.4145 | G Loss: 2.1826
Grid Size (20, 20) | Epoch [350/500] | D Loss: 0.4206 | G Loss: 2.3103
Grid Size (20, 20) | Epoch [360/500] | D Loss: 0.3053 | G Loss: 2.1553
Grid Size (20, 20) | Epoch [370/500] | D Loss: 0.3156 | G Loss: 2.6100
Grid Size (20, 20) | Epoch [380/500] | D Loss: 0.3832 | G Loss: 2.0319
Grid Size (20, 20) | Epoch [390/500] | D Loss: 0.2279 | G Loss: 2.5680
Grid Size (20, 20) | Epoch [400/500] | D Loss: 0.3415 | G Loss: 2.9504
Grid Size (20, 20) | Epoch [410/500] | D Loss: 0.2966 | G Loss: 2.0053
Grid Size (20, 20) | Epoch [420/500] | D Loss: 0.2734 | G Loss: 2.6493
Grid Size (20, 20) | Epoch [430/500] | D Loss: 0.2010 | G Loss: 2.5507
Grid Size (20, 20) | Epoch [440/500] | D Loss: 0.3340 | G Loss: 3.3882
Grid Size (20, 20) | Epoch [450/500] | D Loss: 0.4145 | G Loss: 1.6388
Grid Size (20, 20) | Epoch [460/500] | D Loss: 0.2961 | G Loss: 2.3081
Grid Size (20, 20) | Epoch [470/500] | D Loss: 0.2573 | G Loss: 2.8958
Grid Size (20, 20) | Epoch [480/500] | D Loss: 0.2609 | G Loss: 2.3729
Grid Size (20, 20) | Epoch [490/500] | D Loss: 0.2819 | G Loss: 3.2314

Training complete for grid size (20, 20).

Generating 200 new examples for grid size (20, 20)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_20x20.json'.

Processing grid size (9, 3) with 8 examples...
Skipping training for grid size (9, 3) due to insufficient data (8 examples).

Processing grid size (3, 9) with 8 examples...
Skipping training for grid size (3, 9) due to insufficient data (8 examples).

Processing grid size (10, 10) with 936 examples...
Using Conv models for grid size (10, 10).
Grid Size (10, 10) | Epoch [0/500] | D Loss: 1.3514 | G Loss: 1.1000
Grid Size (10, 10) | Epoch [10/500] | D Loss: 0.4089 | G Loss: 2.1983
Grid Size (10, 10) | Epoch [20/500] | D Loss: 0.4633 | G Loss: 2.4068
Grid Size (10, 10) | Epoch [30/500] | D Loss: 0.2913 | G Loss: 2.5645
Grid Size (10, 10) | Epoch [40/500] | D Loss: 0.6777 | G Loss: 2.0020
Grid Size (10, 10) | Epoch [50/500] | D Loss: 0.4090 | G Loss: 2.5505
Grid Size (10, 10) | Epoch [60/500] | D Loss: 0.4094 | G Loss: 2.2038
Grid Size (10, 10) | Epoch [70/500] | D Loss: 0.9643 | G Loss: 1.1317
Grid Size (10, 10) | Epoch [80/500] | D Loss: 0.8830 | G Loss: 1.1445
Grid Size (10, 10) | Epoch [90/500] | D Loss: 0.9030 | G Loss: 1.1577
Grid Size (10, 10) | Epoch [100/500] | D Loss: 1.1282 | G Loss: 1.3210
Grid Size (10, 10) | Epoch [110/500] | D Loss: 1.1038 | G Loss: 1.1286
Grid Size (10, 10) | Epoch [120/500] | D Loss: 1.0100 | G Loss: 0.7429
Grid Size (10, 10) | Epoch [130/500] | D Loss: 1.1805 | G Loss: 0.9401
Grid Size (10, 10) | Epoch [140/500] | D Loss: 1.1017 | G Loss: 0.9567
Grid Size (10, 10) | Epoch [150/500] | D Loss: 1.0959 | G Loss: 0.8954
Grid Size (10, 10) | Epoch [160/500] | D Loss: 1.0481 | G Loss: 1.2268
Grid Size (10, 10) | Epoch [170/500] | D Loss: 1.0614 | G Loss: 0.9646
Grid Size (10, 10) | Epoch [180/500] | D Loss: 1.1572 | G Loss: 1.1341
Grid Size (10, 10) | Epoch [190/500] | D Loss: 0.9913 | G Loss: 1.0785
Grid Size (10, 10) | Epoch [200/500] | D Loss: 1.1594 | G Loss: 1.5676
Grid Size (10, 10) | Epoch [210/500] | D Loss: 0.9052 | G Loss: 1.2331
Grid Size (10, 10) | Epoch [220/500] | D Loss: 0.7892 | G Loss: 1.4083
Grid Size (10, 10) | Epoch [230/500] | D Loss: 0.8899 | G Loss: 1.4284
Grid Size (10, 10) | Epoch [240/500] | D Loss: 0.6948 | G Loss: 1.6033
Grid Size (10, 10) | Epoch [250/500] | D Loss: 0.6570 | G Loss: 1.2817
Grid Size (10, 10) | Epoch [260/500] | D Loss: 0.5448 | G Loss: 1.5794
Grid Size (10, 10) | Epoch [270/500] | D Loss: 0.5350 | G Loss: 1.7587
Grid Size (10, 10) | Epoch [280/500] | D Loss: 0.7163 | G Loss: 2.1078
Grid Size (10, 10) | Epoch [290/500] | D Loss: 0.4804 | G Loss: 1.7299
Grid Size (10, 10) | Epoch [300/500] | D Loss: 0.4817 | G Loss: 2.0976
Grid Size (10, 10) | Epoch [310/500] | D Loss: 0.4235 | G Loss: 2.2449
Grid Size (10, 10) | Epoch [320/500] | D Loss: 0.3940 | G Loss: 2.1841
Grid Size (10, 10) | Epoch [330/500] | D Loss: 0.4769 | G Loss: 2.0183
Grid Size (10, 10) | Epoch [340/500] | D Loss: 0.5751 | G Loss: 1.9391
Grid Size (10, 10) | Epoch [350/500] | D Loss: 0.4586 | G Loss: 2.3605
Grid Size (10, 10) | Epoch [360/500] | D Loss: 0.5218 | G Loss: 1.8524
Grid Size (10, 10) | Epoch [370/500] | D Loss: 0.4061 | G Loss: 2.0637
Grid Size (10, 10) | Epoch [380/500] | D Loss: 0.4041 | G Loss: 2.4879
Grid Size (10, 10) | Epoch [390/500] | D Loss: 0.2542 | G Loss: 2.5171
Grid Size (10, 10) | Epoch [400/500] | D Loss: 0.2829 | G Loss: 2.3407
Grid Size (10, 10) | Epoch [410/500] | D Loss: 0.2790 | G Loss: 2.8511
Grid Size (10, 10) | Epoch [420/500] | D Loss: 0.5220 | G Loss: 1.8634
Grid Size (10, 10) | Epoch [430/500] | D Loss: 1.1473 | G Loss: 4.3935
Grid Size (10, 10) | Epoch [440/500] | D Loss: 0.3245 | G Loss: 2.6406
Grid Size (10, 10) | Epoch [450/500] | D Loss: 0.4038 | G Loss: 2.0307
Grid Size (10, 10) | Epoch [460/500] | D Loss: 0.2857 | G Loss: 2.8456
Grid Size (10, 10) | Epoch [470/500] | D Loss: 0.3966 | G Loss: 1.5492
Grid Size (10, 10) | Epoch [480/500] | D Loss: 0.3385 | G Loss: 2.2467
Grid Size (10, 10) | Epoch [490/500] | D Loss: 0.2502 | G Loss: 2.5860

Training complete for grid size (10, 10).

Generating 200 new examples for grid size (10, 10)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_10x10.json'.

Processing grid size (21, 21) with 48 examples...
Skipping training for grid size (21, 21) due to insufficient data (48 examples).

Processing grid size (3, 3) with 560 examples...
Using Linear models for grid size (3, 3).
Grid Size (3, 3) | Epoch [0/500] | D Loss: 1.3659 | G Loss: 0.7003
Grid Size (3, 3) | Epoch [10/500] | D Loss: 1.3517 | G Loss: 0.7110
Grid Size (3, 3) | Epoch [20/500] | D Loss: 1.3393 | G Loss: 0.7142
Grid Size (3, 3) | Epoch [30/500] | D Loss: 1.3249 | G Loss: 0.7122
Grid Size (3, 3) | Epoch [40/500] | D Loss: 1.2806 | G Loss: 0.7283
Grid Size (3, 3) | Epoch [50/500] | D Loss: 1.2656 | G Loss: 0.7309
Grid Size (3, 3) | Epoch [60/500] | D Loss: 1.2793 | G Loss: 0.7379
Grid Size (3, 3) | Epoch [70/500] | D Loss: 1.2519 | G Loss: 0.7305
Grid Size (3, 3) | Epoch [80/500] | D Loss: 1.2651 | G Loss: 0.7420
Grid Size (3, 3) | Epoch [90/500] | D Loss: 1.2477 | G Loss: 0.7560
Grid Size (3, 3) | Epoch [100/500] | D Loss: 1.2372 | G Loss: 0.7489
Grid Size (3, 3) | Epoch [110/500] | D Loss: 1.2550 | G Loss: 0.7764
Grid Size (3, 3) | Epoch [120/500] | D Loss: 1.1875 | G Loss: 0.7695
Grid Size (3, 3) | Epoch [130/500] | D Loss: 1.2409 | G Loss: 0.7709
Grid Size (3, 3) | Epoch [140/500] | D Loss: 1.2380 | G Loss: 0.7739
Grid Size (3, 3) | Epoch [150/500] | D Loss: 1.2318 | G Loss: 0.7961
Grid Size (3, 3) | Epoch [160/500] | D Loss: 1.2264 | G Loss: 0.7697
Grid Size (3, 3) | Epoch [170/500] | D Loss: 1.2727 | G Loss: 0.8078
Grid Size (3, 3) | Epoch [180/500] | D Loss: 1.2339 | G Loss: 0.7932
Grid Size (3, 3) | Epoch [190/500] | D Loss: 1.2786 | G Loss: 0.7883
Grid Size (3, 3) | Epoch [200/500] | D Loss: 1.2279 | G Loss: 0.7999
Grid Size (3, 3) | Epoch [210/500] | D Loss: 1.2516 | G Loss: 0.7974
Grid Size (3, 3) | Epoch [220/500] | D Loss: 1.1882 | G Loss: 0.8148
Grid Size (3, 3) | Epoch [230/500] | D Loss: 1.1672 | G Loss: 0.8134
Grid Size (3, 3) | Epoch [240/500] | D Loss: 1.1575 | G Loss: 0.8303
Grid Size (3, 3) | Epoch [250/500] | D Loss: 1.1563 | G Loss: 0.8231
Grid Size (3, 3) | Epoch [260/500] | D Loss: 1.2286 | G Loss: 0.8315
Grid Size (3, 3) | Epoch [270/500] | D Loss: 1.2257 | G Loss: 0.8368
Grid Size (3, 3) | Epoch [280/500] | D Loss: 1.1509 | G Loss: 0.8323
Grid Size (3, 3) | Epoch [290/500] | D Loss: 1.1761 | G Loss: 0.8293
Grid Size (3, 3) | Epoch [300/500] | D Loss: 1.2153 | G Loss: 0.8103
Grid Size (3, 3) | Epoch [310/500] | D Loss: 1.1916 | G Loss: 0.8502
Grid Size (3, 3) | Epoch [320/500] | D Loss: 1.1887 | G Loss: 0.8247
Grid Size (3, 3) | Epoch [330/500] | D Loss: 1.1896 | G Loss: 0.8287
Grid Size (3, 3) | Epoch [340/500] | D Loss: 1.1706 | G Loss: 0.8619
Grid Size (3, 3) | Epoch [350/500] | D Loss: 1.2033 | G Loss: 0.8245
Grid Size (3, 3) | Epoch [360/500] | D Loss: 1.1799 | G Loss: 0.8358
Grid Size (3, 3) | Epoch [370/500] | D Loss: 1.1427 | G Loss: 0.8386
Grid Size (3, 3) | Epoch [380/500] | D Loss: 1.1885 | G Loss: 0.8590
Grid Size (3, 3) | Epoch [390/500] | D Loss: 1.2673 | G Loss: 0.8430
Grid Size (3, 3) | Epoch [400/500] | D Loss: 1.2106 | G Loss: 0.8189
Grid Size (3, 3) | Epoch [410/500] | D Loss: 1.2139 | G Loss: 0.8706
Grid Size (3, 3) | Epoch [420/500] | D Loss: 1.1306 | G Loss: 0.8040
Grid Size (3, 3) | Epoch [430/500] | D Loss: 1.1510 | G Loss: 0.8408
Grid Size (3, 3) | Epoch [440/500] | D Loss: 1.2304 | G Loss: 0.8061
Grid Size (3, 3) | Epoch [450/500] | D Loss: 1.1792 | G Loss: 0.8219
Grid Size (3, 3) | Epoch [460/500] | D Loss: 1.2027 | G Loss: 0.8188
Grid Size (3, 3) | Epoch [470/500] | D Loss: 1.2101 | G Loss: 0.8217
Grid Size (3, 3) | Epoch [480/500] | D Loss: 1.2839 | G Loss: 0.8493
Grid Size (3, 3) | Epoch [490/500] | D Loss: 1.1487 | G Loss: 0.8433

Training complete for grid size (3, 3).

Generating 200 new examples for grid size (3, 3)...
Generated dataset appended to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_3x3.json'.

Processing grid size (7, 7) with 128 examples...
Skipping training for grid size (7, 7) due to insufficient data (128 examples).

Processing grid size (30, 30) with 216 examples...
Using Conv models for grid size (30, 30).
Grid Size (30, 30) | Epoch [0/500] | D Loss: 1.3852 | G Loss: 1.0533
Grid Size (30, 30) | Epoch [10/500] | D Loss: 0.4768 | G Loss: 1.7496
Grid Size (30, 30) | Epoch [20/500] | D Loss: 0.6435 | G Loss: 1.6898
Grid Size (30, 30) | Epoch [30/500] | D Loss: 0.6072 | G Loss: 1.9269
Grid Size (30, 30) | Epoch [40/500] | D Loss: 0.6792 | G Loss: 1.9890
Grid Size (30, 30) | Epoch [50/500] | D Loss: 1.1102 | G Loss: 1.6928
Grid Size (30, 30) | Epoch [60/500] | D Loss: 0.7750 | G Loss: 1.5658
Grid Size (30, 30) | Epoch [70/500] | D Loss: 0.9029 | G Loss: 1.0778
Grid Size (30, 30) | Epoch [80/500] | D Loss: 1.1065 | G Loss: 1.0830
Grid Size (30, 30) | Epoch [90/500] | D Loss: 0.9368 | G Loss: 0.9622
Grid Size (30, 30) | Epoch [100/500] | D Loss: 0.9643 | G Loss: 1.1254
Grid Size (30, 30) | Epoch [110/500] | D Loss: 0.9199 | G Loss: 1.1383
Grid Size (30, 30) | Epoch [120/500] | D Loss: 0.9462 | G Loss: 1.0988
Grid Size (30, 30) | Epoch [130/500] | D Loss: 0.8691 | G Loss: 1.1842
Grid Size (30, 30) | Epoch [140/500] | D Loss: 0.8412 | G Loss: 1.2626
Grid Size (30, 30) | Epoch [150/500] | D Loss: 0.8591 | G Loss: 1.1543
Grid Size (30, 30) | Epoch [160/500] | D Loss: 0.7428 | G Loss: 1.3407
Grid Size (30, 30) | Epoch [170/500] | D Loss: 0.7921 | G Loss: 1.4857
Grid Size (30, 30) | Epoch [180/500] | D Loss: 0.7164 | G Loss: 1.2520
Grid Size (30, 30) | Epoch [190/500] | D Loss: 0.6777 | G Loss: 1.3704
Grid Size (30, 30) | Epoch [200/500] | D Loss: 0.5443 | G Loss: 1.7000
Grid Size (30, 30) | Epoch [210/500] | D Loss: 0.5948 | G Loss: 2.1522
Grid Size (30, 30) | Epoch [220/500] | D Loss: 0.4722 | G Loss: 1.8587
Grid Size (30, 30) | Epoch [230/500] | D Loss: 0.7815 | G Loss: 1.6026
Grid Size (30, 30) | Epoch [240/500] | D Loss: 0.5369 | G Loss: 2.0245
Grid Size (30, 30) | Epoch [250/500] | D Loss: 0.3981 | G Loss: 1.7341
Grid Size (30, 30) | Epoch [260/500] | D Loss: 0.4558 | G Loss: 1.5960
Grid Size (30, 30) | Epoch [270/500] | D Loss: 0.5309 | G Loss: 1.5625
Grid Size (30, 30) | Epoch [280/500] | D Loss: 0.4239 | G Loss: 1.8614
Grid Size (30, 30) | Epoch [290/500] | D Loss: 0.4521 | G Loss: 1.7949
Grid Size (30, 30) | Epoch [300/500] | D Loss: 0.4759 | G Loss: 1.4354
Grid Size (30, 30) | Epoch [310/500] | D Loss: 0.7139 | G Loss: 1.8174
Grid Size (30, 30) | Epoch [320/500] | D Loss: 0.5213 | G Loss: 1.8117
Grid Size (30, 30) | Epoch [330/500] | D Loss: 0.4968 | G Loss: 1.7752
Grid Size (30, 30) | Epoch [340/500] | D Loss: 0.5251 | G Loss: 1.5924
Grid Size (30, 30) | Epoch [350/500] | D Loss: 0.5135 | G Loss: 1.8999
Grid Size (30, 30) | Epoch [360/500] | D Loss: 0.5310 | G Loss: 1.8098
Grid Size (30, 30) | Epoch [370/500] | D Loss: 0.4082 | G Loss: 2.1092
