Using Linear models for grid size (6, 6).
Grid Size (9, 9) | Epoch [0/200] | D Loss: 1.5771 | G Loss: 1.2738
Grid Size (9, 9) | Epoch [10/200] | D Loss: 0.6340 | G Loss: 1.9177
Grid Size (9, 9) | Epoch [20/200] | D Loss: 0.6328 | G Loss: 2.2462
Grid Size (9, 9) | Epoch [30/200] | D Loss: 0.3882 | G Loss: 2.2359
Grid Size (9, 9) | Epoch [40/200] | D Loss: 0.7873 | G Loss: 1.9338
Grid Size (9, 9) | Epoch [50/200] | D Loss: 0.3598 | G Loss: 2.8368
Grid Size (9, 9) | Epoch [60/200] | D Loss: 0.5370 | G Loss: 2.4994
Grid Size (9, 9) | Epoch [70/200] | D Loss: 0.2816 | G Loss: 2.8075
Grid Size (9, 9) | Epoch [80/200] | D Loss: 0.4003 | G Loss: 2.4509
Grid Size (9, 9) | Epoch [90/200] | D Loss: 0.6369 | G Loss: 1.6861
Grid Size (9, 9) | Epoch [100/200] | D Loss: 0.6499 | G Loss: 2.0887
Grid Size (9, 9) | Epoch [110/200] | D Loss: 0.8487 | G Loss: 1.3694
Grid Size (9, 9) | Epoch [120/200] | D Loss: 0.8742 | G Loss: 0.9073
Grid Size (9, 9) | Epoch [130/200] | D Loss: 0.9593 | G Loss: 1.1222
Grid Size (9, 9) | Epoch [140/200] | D Loss: 0.8176 | G Loss: 1.2428
Grid Size (9, 9) | Epoch [150/200] | D Loss: 0.9209 | G Loss: 1.4906
Grid Size (9, 9) | Epoch [160/200] | D Loss: 0.7728 | G Loss: 1.4017
Grid Size (9, 9) | Epoch [170/200] | D Loss: 0.8725 | G Loss: 1.5559
Grid Size (9, 9) | Epoch [180/200] | D Loss: 0.9170 | G Loss: 1.6855
Grid Size (9, 9) | Epoch [190/200] | D Loss: 0.6984 | G Loss: 1.2698

Training complete for grid size (9, 9).

Generating 200 new examples for grid size (9, 9)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_9x9.json'.
Skipping training for grid size (14, 14) due to insufficient data (88 examples).
Using Conv models for grid size (20, 20).
Grid Size (20, 20) | Epoch [0/200] | D Loss: 1.2756 | G Loss: 1.0005
Grid Size (20, 20) | Epoch [10/200] | D Loss: 0.6066 | G Loss: 1.4745
Grid Size (20, 20) | Epoch [20/200] | D Loss: 0.4626 | G Loss: 2.0919
Grid Size (20, 20) | Epoch [30/200] | D Loss: 0.3729 | G Loss: 2.2187
Grid Size (20, 20) | Epoch [40/200] | D Loss: 0.4073 | G Loss: 2.2379
Grid Size (20, 20) | Epoch [50/200] | D Loss: 1.0006 | G Loss: 1.3288
Grid Size (20, 20) | Epoch [60/200] | D Loss: 0.7530 | G Loss: 1.1871
Grid Size (20, 20) | Epoch [70/200] | D Loss: 0.7546 | G Loss: 1.5743
Grid Size (20, 20) | Epoch [80/200] | D Loss: 0.8073 | G Loss: 1.3726
Grid Size (20, 20) | Epoch [90/200] | D Loss: 0.6832 | G Loss: 1.7166
Grid Size (20, 20) | Epoch [100/200] | D Loss: 0.8385 | G Loss: 1.2903
Grid Size (20, 20) | Epoch [110/200] | D Loss: 0.6546 | G Loss: 1.4195
Grid Size (20, 20) | Epoch [120/200] | D Loss: 0.5962 | G Loss: 1.4234
Grid Size (20, 20) | Epoch [130/200] | D Loss: 0.6650 | G Loss: 1.5462
Grid Size (20, 20) | Epoch [140/200] | D Loss: 0.9286 | G Loss: 1.4863
Grid Size (20, 20) | Epoch [150/200] | D Loss: 0.6409 | G Loss: 1.7382
Grid Size (20, 20) | Epoch [160/200] | D Loss: 0.7391 | G Loss: 1.9264
Grid Size (20, 20) | Epoch [170/200] | D Loss: 0.6602 | G Loss: 2.0227
Grid Size (20, 20) | Epoch [180/200] | D Loss: 0.6128 | G Loss: 1.4547
Grid Size (20, 20) | Epoch [190/200] | D Loss: 0.7760 | G Loss: 1.7482

Training complete for grid size (20, 20).

Generating 200 new examples for grid size (20, 20)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_20x20.json'.
Skipping training for grid size (9, 3) due to insufficient data (8 examples).
Skipping training for grid size (3, 9) due to insufficient data (8 examples).
Using Conv models for grid size (10, 10).
Grid Size (10, 10) | Epoch [0/200] | D Loss: 1.4278 | G Loss: 0.8701
Grid Size (10, 10) | Epoch [10/200] | D Loss: 0.5346 | G Loss: 1.9206
Grid Size (10, 10) | Epoch [20/200] | D Loss: 0.6022 | G Loss: 2.1930
Grid Size (10, 10) | Epoch [30/200] | D Loss: 0.3593 | G Loss: 2.3847
Grid Size (10, 10) | Epoch [40/200] | D Loss: 0.6675 | G Loss: 1.6653
Grid Size (10, 10) | Epoch [50/200] | D Loss: 0.4701 | G Loss: 1.9877
Grid Size (10, 10) | Epoch [60/200] | D Loss: 0.4660 | G Loss: 1.9949
Grid Size (10, 10) | Epoch [70/200] | D Loss: 0.9269 | G Loss: 1.7667
Grid Size (10, 10) | Epoch [80/200] | D Loss: 0.9231 | G Loss: 1.1587
Grid Size (10, 10) | Epoch [90/200] | D Loss: 0.9342 | G Loss: 1.3566
Grid Size (10, 10) | Epoch [100/200] | D Loss: 1.1256 | G Loss: 0.8136
Grid Size (10, 10) | Epoch [110/200] | D Loss: 1.1379 | G Loss: 0.9789
Grid Size (10, 10) | Epoch [120/200] | D Loss: 1.1677 | G Loss: 1.1052
Grid Size (10, 10) | Epoch [130/200] | D Loss: 1.0679 | G Loss: 0.8973
Grid Size (10, 10) | Epoch [140/200] | D Loss: 1.0510 | G Loss: 0.8451
Grid Size (10, 10) | Epoch [150/200] | D Loss: 0.9697 | G Loss: 0.9763
Grid Size (10, 10) | Epoch [160/200] | D Loss: 0.9908 | G Loss: 0.8603
Grid Size (10, 10) | Epoch [170/200] | D Loss: 0.9837 | G Loss: 1.0947
Grid Size (10, 10) | Epoch [180/200] | D Loss: 0.9143 | G Loss: 0.8724
Grid Size (10, 10) | Epoch [190/200] | D Loss: 0.8597 | G Loss: 1.3240

Training complete for grid size (10, 10).

Generating 200 new examples for grid size (10, 10)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_10x10.json'.
Skipping training for grid size (21, 21) due to insufficient data (48 examples).
Using Linear models for grid size (3, 3).
Grid Size (3, 3) | Epoch [0/200] | D Loss: 1.3636 | G Loss: 0.7373
Grid Size (3, 3) | Epoch [10/200] | D Loss: 1.3368 | G Loss: 0.7310
Grid Size (3, 3) | Epoch [20/200] | D Loss: 1.2960 | G Loss: 0.7355
Grid Size (3, 3) | Epoch [30/200] | D Loss: 1.3003 | G Loss: 0.7451
Grid Size (3, 3) | Epoch [40/200] | D Loss: 1.2953 | G Loss: 0.7333
Grid Size (3, 3) | Epoch [50/200] | D Loss: 1.3264 | G Loss: 0.7397
Grid Size (3, 3) | Epoch [60/200] | D Loss: 1.2880 | G Loss: 0.7391
Grid Size (3, 3) | Epoch [70/200] | D Loss: 1.2812 | G Loss: 0.7478
Grid Size (3, 3) | Epoch [80/200] | D Loss: 1.2734 | G Loss: 0.7582
Grid Size (3, 3) | Epoch [90/200] | D Loss: 1.2409 | G Loss: 0.7636
Grid Size (3, 3) | Epoch [100/200] | D Loss: 1.2729 | G Loss: 0.7591
Grid Size (3, 3) | Epoch [110/200] | D Loss: 1.3015 | G Loss: 0.7469
Grid Size (3, 3) | Epoch [120/200] | D Loss: 1.2188 | G Loss: 0.7791
Grid Size (3, 3) | Epoch [130/200] | D Loss: 1.2606 | G Loss: 0.7688
Grid Size (3, 3) | Epoch [140/200] | D Loss: 1.2527 | G Loss: 0.7504
Grid Size (3, 3) | Epoch [150/200] | D Loss: 1.1848 | G Loss: 0.7803
Grid Size (3, 3) | Epoch [160/200] | D Loss: 1.2462 | G Loss: 0.7859
Grid Size (3, 3) | Epoch [170/200] | D Loss: 1.2267 | G Loss: 0.7845
Grid Size (3, 3) | Epoch [180/200] | D Loss: 1.2399 | G Loss: 0.7716
Grid Size (3, 3) | Epoch [190/200] | D Loss: 1.1698 | G Loss: 0.7809

Training complete for grid size (3, 3).

Generating 200 new examples for grid size (3, 3)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_3x3.json'.
Skipping training for grid size (7, 7) due to insufficient data (128 examples).
Using Conv models for grid size (30, 30).
Grid Size (30, 30) | Epoch [0/200] | D Loss: 1.3754 | G Loss: 0.8209
Grid Size (30, 30) | Epoch [10/200] | D Loss: 0.8273 | G Loss: 1.3246
Grid Size (30, 30) | Epoch [20/200] | D Loss: 0.4674 | G Loss: 1.9613
Grid Size (30, 30) | Epoch [30/200] | D Loss: 0.5421 | G Loss: 1.8858
Grid Size (30, 30) | Epoch [40/200] | D Loss: 0.7018 | G Loss: 1.7665
Grid Size (30, 30) | Epoch [50/200] | D Loss: 0.8953 | G Loss: 1.2402
Grid Size (30, 30) | Epoch [60/200] | D Loss: 0.9313 | G Loss: 1.3214
Grid Size (30, 30) | Epoch [70/200] | D Loss: 1.0553 | G Loss: 0.8909
Grid Size (30, 30) | Epoch [80/200] | D Loss: 1.1709 | G Loss: 1.0876
Grid Size (30, 30) | Epoch [90/200] | D Loss: 1.0860 | G Loss: 1.3255
Grid Size (30, 30) | Epoch [100/200] | D Loss: 0.9370 | G Loss: 1.2296
Grid Size (30, 30) | Epoch [110/200] | D Loss: 0.9884 | G Loss: 1.2109
Grid Size (30, 30) | Epoch [120/200] | D Loss: 1.0124 | G Loss: 0.9451
Grid Size (30, 30) | Epoch [130/200] | D Loss: 0.8532 | G Loss: 1.2860
Grid Size (30, 30) | Epoch [140/200] | D Loss: 0.9367 | G Loss: 1.1152
Grid Size (30, 30) | Epoch [150/200] | D Loss: 0.7103 | G Loss: 1.4525
Grid Size (30, 30) | Epoch [160/200] | D Loss: 0.7323 | G Loss: 1.3910
Grid Size (30, 30) | Epoch [170/200] | D Loss: 0.6953 | G Loss: 1.3403
Grid Size (30, 30) | Epoch [180/200] | D Loss: 0.6971 | G Loss: 1.4241
Grid Size (30, 30) | Epoch [190/200] | D Loss: 0.5335 | G Loss: 1.6184

Training complete for grid size (30, 30).

Generating 200 new examples for grid size (30, 30)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_30x30.json'.
Skipping training for grid size (11, 10) due to insufficient data (18 examples).
Skipping training for grid size (10, 11) due to insufficient data (22 examples).
Skipping training for grid size (24, 22) due to insufficient data (8 examples).
Skipping training for grid size (22, 24) due to insufficient data (8 examples).
Skipping training for grid size (26, 26) due to insufficient data (56 examples).
Using Conv models for grid size (11, 11).
Grid Size (11, 11) | Epoch [0/200] | D Loss: 1.4346 | G Loss: 0.8920
Grid Size (11, 11) | Epoch [10/200] | D Loss: 0.5878 | G Loss: 1.9043
Grid Size (11, 11) | Epoch [20/200] | D Loss: 0.5239 | G Loss: 2.0631
Grid Size (11, 11) | Epoch [30/200] | D Loss: 0.3273 | G Loss: 2.5775
Grid Size (11, 11) | Epoch [40/200] | D Loss: 0.3944 | G Loss: 2.3410
Grid Size (11, 11) | Epoch [50/200] | D Loss: 0.2848 | G Loss: 2.8638
Grid Size (11, 11) | Epoch [60/200] | D Loss: 0.5240 | G Loss: 1.8781
Grid Size (11, 11) | Epoch [70/200] | D Loss: 0.5419 | G Loss: 2.0076
Grid Size (11, 11) | Epoch [80/200] | D Loss: 0.6614 | G Loss: 1.2742
Grid Size (11, 11) | Epoch [90/200] | D Loss: 0.8262 | G Loss: 1.4584
Grid Size (11, 11) | Epoch [100/200] | D Loss: 0.7575 | G Loss: 1.4946
Grid Size (11, 11) | Epoch [110/200] | D Loss: 0.7098 | G Loss: 1.6763
Grid Size (11, 11) | Epoch [120/200] | D Loss: 0.6778 | G Loss: 1.4300
Grid Size (11, 11) | Epoch [130/200] | D Loss: 0.7831 | G Loss: 2.0458
Grid Size (11, 11) | Epoch [140/200] | D Loss: 0.7345 | G Loss: 1.4288
Grid Size (11, 11) | Epoch [150/200] | D Loss: 0.6698 | G Loss: 1.6673
Grid Size (11, 11) | Epoch [160/200] | D Loss: 0.5816 | G Loss: 2.0725
Grid Size (11, 11) | Epoch [170/200] | D Loss: 0.4911 | G Loss: 2.3999
Grid Size (11, 11) | Epoch [180/200] | D Loss: 0.4703 | G Loss: 1.8030
Grid Size (11, 11) | Epoch [190/200] | D Loss: 0.4609 | G Loss: 2.1550

Training complete for grid size (11, 11).

Generating 200 new examples for grid size (11, 11)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_11x11.json'.
Using Conv models for grid size (12, 12).
Grid Size (12, 12) | Epoch [0/200] | D Loss: 1.3579 | G Loss: 0.9316
Grid Size (12, 12) | Epoch [10/200] | D Loss: 0.7439 | G Loss: 1.4443
Grid Size (12, 12) | Epoch [20/200] | D Loss: 0.5265 | G Loss: 1.9880
Grid Size (12, 12) | Epoch [30/200] | D Loss: 0.3904 | G Loss: 2.0689
Grid Size (12, 12) | Epoch [40/200] | D Loss: 0.5521 | G Loss: 2.0219
Grid Size (12, 12) | Epoch [50/200] | D Loss: 0.6434 | G Loss: 1.5756
Grid Size (12, 12) | Epoch [60/200] | D Loss: 1.1561 | G Loss: 0.9452
Grid Size (12, 12) | Epoch [70/200] | D Loss: 1.0319 | G Loss: 1.4369
Grid Size (12, 12) | Epoch [80/200] | D Loss: 0.8491 | G Loss: 1.0912
Grid Size (12, 12) | Epoch [90/200] | D Loss: 0.9235 | G Loss: 1.6282
Grid Size (12, 12) | Epoch [100/200] | D Loss: 0.7966 | G Loss: 1.2757
Grid Size (12, 12) | Epoch [110/200] | D Loss: 0.8593 | G Loss: 1.3402
Grid Size (12, 12) | Epoch [120/200] | D Loss: 0.8249 | G Loss: 1.5685
Grid Size (12, 12) | Epoch [130/200] | D Loss: 0.8606 | G Loss: 1.7391
Grid Size (12, 12) | Epoch [140/200] | D Loss: 0.6790 | G Loss: 1.6326
Grid Size (12, 12) | Epoch [150/200] | D Loss: 0.7204 | G Loss: 1.3776
Grid Size (12, 12) | Epoch [160/200] | D Loss: 0.5400 | G Loss: 1.8514
Grid Size (12, 12) | Epoch [170/200] | D Loss: 0.5907 | G Loss: 1.8529
Grid Size (12, 12) | Epoch [180/200] | D Loss: 0.5956 | G Loss: 1.6884
Grid Size (12, 12) | Epoch [190/200] | D Loss: 0.4861 | G Loss: 1.8442

Training complete for grid size (12, 12).

Generating 200 new examples for grid size (12, 12)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_12x12.json'.
Skipping training for grid size (4, 3) due to insufficient data (52 examples).
Skipping training for grid size (3, 4) due to insufficient data (28 examples).
Skipping training for grid size (15, 17) due to insufficient data (28 examples).
Skipping training for grid size (17, 15) due to insufficient data (20 examples).
Skipping training for grid size (11, 27) due to insufficient data (6 examples).
Skipping training for grid size (27, 11) due to insufficient data (2 examples).
Using Conv models for grid size (15, 15).
Grid Size (15, 15) | Epoch [0/200] | D Loss: 1.2353 | G Loss: 1.0388
Grid Size (15, 15) | Epoch [10/200] | D Loss: 0.8398 | G Loss: 1.3003
Grid Size (15, 15) | Epoch [20/200] | D Loss: 0.6324 | G Loss: 1.6647
Grid Size (15, 15) | Epoch [30/200] | D Loss: 0.5907 | G Loss: 2.0283
Grid Size (15, 15) | Epoch [40/200] | D Loss: 0.3400 | G Loss: 2.6083
Grid Size (15, 15) | Epoch [50/200] | D Loss: 0.6410 | G Loss: 1.8956
Grid Size (15, 15) | Epoch [60/200] | D Loss: 0.4809 | G Loss: 1.6821
Grid Size (15, 15) | Epoch [70/200] | D Loss: 0.6665 | G Loss: 2.4162
Grid Size (15, 15) | Epoch [80/200] | D Loss: 0.6234 | G Loss: 1.8933
Grid Size (15, 15) | Epoch [90/200] | D Loss: 1.0712 | G Loss: 1.8542
Grid Size (15, 15) | Epoch [100/200] | D Loss: 0.7108 | G Loss: 1.5507
Grid Size (15, 15) | Epoch [110/200] | D Loss: 0.4689 | G Loss: 1.7473
Grid Size (15, 15) | Epoch [120/200] | D Loss: 0.5155 | G Loss: 2.0020
Grid Size (15, 15) | Epoch [130/200] | D Loss: 0.5045 | G Loss: 1.5487
Grid Size (15, 15) | Epoch [140/200] | D Loss: 1.2153 | G Loss: 1.6738
Grid Size (15, 15) | Epoch [150/200] | D Loss: 0.9212 | G Loss: 1.3410
Grid Size (15, 15) | Epoch [160/200] | D Loss: 0.7752 | G Loss: 1.3342
Grid Size (15, 15) | Epoch [170/200] | D Loss: 0.7467 | G Loss: 1.1658
Grid Size (15, 15) | Epoch [180/200] | D Loss: 0.7499 | G Loss: 1.7720
Grid Size (15, 15) | Epoch [190/200] | D Loss: 0.8229 | G Loss: 1.2680

Training complete for grid size (15, 15).

Generating 200 new examples for grid size (15, 15)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_15x15.json'.
Skipping training for grid size (6, 8) due to insufficient data (24 examples).
Skipping training for grid size (8, 6) due to insufficient data (8 examples).
Skipping training for grid size (6, 4) due to insufficient data (46 examples).
Skipping training for grid size (4, 6) due to insufficient data (26 examples).
Skipping training for grid size (23, 25) due to insufficient data (6 examples).
Skipping training for grid size (25, 23) due to insufficient data (2 examples).
Skipping training for grid size (24, 19) due to insufficient data (8 examples).
Skipping training for grid size (19, 24) due to insufficient data (8 examples).
Using Conv models for grid size (13, 13).
Grid Size (13, 13) | Epoch [0/200] | D Loss: 1.4458 | G Loss: 1.0536
Grid Size (13, 13) | Epoch [10/200] | D Loss: 0.5592 | G Loss: 1.5478
Grid Size (13, 13) | Epoch [20/200] | D Loss: 0.4262 | G Loss: 2.2673
Grid Size (13, 13) | Epoch [30/200] | D Loss: 0.2942 | G Loss: 2.6119
Grid Size (13, 13) | Epoch [40/200] | D Loss: 0.1820 | G Loss: 3.0636
Grid Size (13, 13) | Epoch [50/200] | D Loss: 0.2130 | G Loss: 3.2672
Grid Size (13, 13) | Epoch [60/200] | D Loss: 0.2349 | G Loss: 3.2065
Grid Size (13, 13) | Epoch [70/200] | D Loss: 0.2081 | G Loss: 3.1242
Grid Size (13, 13) | Epoch [80/200] | D Loss: 0.4829 | G Loss: 2.4290
Grid Size (13, 13) | Epoch [90/200] | D Loss: 0.3045 | G Loss: 2.2922
Grid Size (13, 13) | Epoch [100/200] | D Loss: 0.5428 | G Loss: 2.4020
Grid Size (13, 13) | Epoch [110/200] | D Loss: 0.5047 | G Loss: 1.8356
Grid Size (13, 13) | Epoch [120/200] | D Loss: 0.6588 | G Loss: 2.1997
Grid Size (13, 13) | Epoch [130/200] | D Loss: 0.7294 | G Loss: 2.7407
Grid Size (13, 13) | Epoch [140/200] | D Loss: 0.5713 | G Loss: 1.2841
Grid Size (13, 13) | Epoch [150/200] | D Loss: 0.4282 | G Loss: 2.7247
Grid Size (13, 13) | Epoch [160/200] | D Loss: 0.3977 | G Loss: 2.3824
Grid Size (13, 13) | Epoch [170/200] | D Loss: 0.5354 | G Loss: 1.9712
Grid Size (13, 13) | Epoch [180/200] | D Loss: 0.3435 | G Loss: 2.8191
Grid Size (13, 13) | Epoch [190/200] | D Loss: 0.3614 | G Loss: 2.2331

Training complete for grid size (13, 13).

Generating 200 new examples for grid size (13, 13)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_13x13.json'.
Skipping training for grid size (16, 26) due to insufficient data (6 examples).
Skipping training for grid size (26, 16) due to insufficient data (2 examples).
Skipping training for grid size (12, 10) due to insufficient data (18 examples).
Skipping training for grid size (10, 12) due to insufficient data (22 examples).
Using Conv models for grid size (8, 8).
Grid Size (8, 8) | Epoch [0/200] | D Loss: 1.3150 | G Loss: 1.1740
Grid Size (8, 8) | Epoch [10/200] | D Loss: 0.9064 | G Loss: 1.4301
Grid Size (8, 8) | Epoch [20/200] | D Loss: 0.8981 | G Loss: 1.1656
Grid Size (8, 8) | Epoch [30/200] | D Loss: 0.9903 | G Loss: 1.1292
Grid Size (8, 8) | Epoch [40/200] | D Loss: 1.1283 | G Loss: 0.9226
Grid Size (8, 8) | Epoch [50/200] | D Loss: 1.0835 | G Loss: 0.8613
Grid Size (8, 8) | Epoch [60/200] | D Loss: 1.0831 | G Loss: 1.0920
Grid Size (8, 8) | Epoch [70/200] | D Loss: 1.0854 | G Loss: 0.9945
Grid Size (8, 8) | Epoch [80/200] | D Loss: 1.0322 | G Loss: 1.1174
Grid Size (8, 8) | Epoch [90/200] | D Loss: 0.9258 | G Loss: 1.1914
Grid Size (8, 8) | Epoch [100/200] | D Loss: 0.8111 | G Loss: 1.2752
Grid Size (8, 8) | Epoch [110/200] | D Loss: 0.8502 | G Loss: 1.3410
Grid Size (8, 8) | Epoch [120/200] | D Loss: 0.8186 | G Loss: 1.2683
Grid Size (8, 8) | Epoch [130/200] | D Loss: 0.8446 | G Loss: 1.4387
Grid Size (8, 8) | Epoch [140/200] | D Loss: 0.7865 | G Loss: 1.3523
Grid Size (8, 8) | Epoch [150/200] | D Loss: 0.7905 | G Loss: 1.5832
Grid Size (8, 8) | Epoch [160/200] | D Loss: 0.5993 | G Loss: 1.5004
Grid Size (8, 8) | Epoch [170/200] | D Loss: 0.6673 | G Loss: 1.4264
Grid Size (8, 8) | Epoch [180/200] | D Loss: 0.5662 | G Loss: 1.6805
Grid Size (8, 8) | Epoch [190/200] | D Loss: 0.5892 | G Loss: 1.8683

Training complete for grid size (8, 8).

Generating 200 new examples for grid size (8, 8)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_8x8.json'.
Skipping training for grid size (5, 3) due to insufficient data (40 examples).
Skipping training for grid size (3, 5) due to insufficient data (56 examples).
Skipping training for grid size (12, 14) due to insufficient data (20 examples).
Skipping training for grid size (14, 12) due to insufficient data (12 examples).
Skipping training for grid size (10, 7) due to insufficient data (10 examples).
Skipping training for grid size (7, 10) due to insufficient data (14 examples).
Skipping training for grid size (12, 3) due to insufficient data (14 examples).
Skipping training for grid size (3, 12) due to insufficient data (26 examples).
Skipping training for grid size (19, 18) due to insufficient data (12 examples).
Skipping training for grid size (18, 19) due to insufficient data (4 examples).
Using Conv models for grid size (19, 19).
Grid Size (19, 19) | Epoch [0/200] | D Loss: 1.3736 | G Loss: 1.1386
Grid Size (19, 19) | Epoch [10/200] | D Loss: 0.4721 | G Loss: 1.8916
Grid Size (19, 19) | Epoch [20/200] | D Loss: 0.6335 | G Loss: 1.7826
Grid Size (19, 19) | Epoch [30/200] | D Loss: 0.4678 | G Loss: 2.2398
Grid Size (19, 19) | Epoch [40/200] | D Loss: 0.3433 | G Loss: 2.4887
Grid Size (19, 19) | Epoch [50/200] | D Loss: 0.3738 | G Loss: 2.2710
Grid Size (19, 19) | Epoch [60/200] | D Loss: 0.3594 | G Loss: 1.9691
Grid Size (19, 19) | Epoch [70/200] | D Loss: 0.5424 | G Loss: 1.6997
Grid Size (19, 19) | Epoch [80/200] | D Loss: 0.4731 | G Loss: 1.7503
Grid Size (19, 19) | Epoch [90/200] | D Loss: 0.5625 | G Loss: 1.7992
Grid Size (19, 19) | Epoch [100/200] | D Loss: 0.8829 | G Loss: 1.5177
Grid Size (19, 19) | Epoch [110/200] | D Loss: 0.8600 | G Loss: 1.2368
Grid Size (19, 19) | Epoch [120/200] | D Loss: 0.6129 | G Loss: 1.6476
Grid Size (19, 19) | Epoch [130/200] | D Loss: 0.7743 | G Loss: 2.0761
Grid Size (19, 19) | Epoch [140/200] | D Loss: 0.5892 | G Loss: 1.9479
Grid Size (19, 19) | Epoch [150/200] | D Loss: 0.5399 | G Loss: 1.8635
Grid Size (19, 19) | Epoch [160/200] | D Loss: 0.4228 | G Loss: 1.9953
Grid Size (19, 19) | Epoch [170/200] | D Loss: 0.5244 | G Loss: 1.5531
Grid Size (19, 19) | Epoch [180/200] | D Loss: 0.5303 | G Loss: 1.4949
Grid Size (19, 19) | Epoch [190/200] | D Loss: 0.4260 | G Loss: 2.0924

Training complete for grid size (19, 19).

Generating 200 new examples for grid size (19, 19)...
Generated dataset saved to '/content/drive/MyDrive/Google_AI_Studio/ARCAGI2025/datasets/generated_dcgan_dataset_19x19.json'.
Skipping training for grid size (8, 11) due to insufficient data (14 examples).
Skipping training for grid size (11, 8) due to insufficient data (10 examples).
Skipping training for grid size (23, 23) due to insufficient data (56 examples).
Skipping training for grid size (7, 23) due to insufficient data (8 examples).
Skipping training for grid size (23, 7) due to insufficient data (8 examples).
Skipping training for grid size (15, 16) due to insufficient data (14 examples).
Skipping training for grid size (16, 15) due to insufficient data (26 examples).
Using Conv models for grid size (16, 16).
Grid Size (16, 16) | Epoch [0/200] | D Loss: 1.4049 | G Loss: 0.7449
Grid Size (16, 16) | Epoch [10/200] | D Loss: 0.6993 | G Loss: 1.4194
Grid Size (16, 16) | Epoch [20/200] | D Loss: 0.4895 | G Loss: 2.1186
Grid Size (16, 16) | Epoch [30/200] | D Loss: 0.4252 | G Loss: 2.0556
Grid Size (16, 16) | Epoch [40/200] | D Loss: 0.4333 | G Loss: 2.1482
Grid Size (16, 16) | Epoch [50/200] | D Loss: 0.2823 | G Loss: 2.5826
Grid Size (16, 16) | Epoch [60/200] | D Loss: 0.3735 | G Loss: 2.4503
Grid Size (16, 16) | Epoch [70/200] | D Loss: 0.6319 | G Loss: 1.8334
Grid Size (16, 16) | Epoch [80/200] | D Loss: 0.9385 | G Loss: 1.5376
